,[Vertices],lat,long
0,Abbesses,48.88459421,2.337949777
1,AlexandreDumas,48.85637736,2.394561945
2,AlmaMarceau,48.86476684,2.300991003
3,Alesia,48.82818848,2.32716465
4,AnatoleFrance,48.89208279,2.285009503
5,Anvers,48.88286865,2.344130634
6,Argentine,48.87559405,2.28932259
7,ArtsetMetiers,48.86532271,2.356729869
8,ArtsetMetiers,48.86532271,2.356729869
9,AssembleeNationale,48.86078696,2.320998192
10,AubervilliersPantinQuatreChemins,48.90375993,2.39228706
11,AvenueemileZola,48.84701958,2.295420478
12,Avron,48.85151028,2.398302344
13,BarbesRochechouart,48.88343619,2.349774444
14,BarbesRochechouart,48.88343619,2.349774444
15,BasiliquedeSaintDenis,48.93652685,2.359398261
16,Bastille,48.85343696,2.368736573
17,Bastille,48.85343696,2.368736573
18,Bastille,48.85343696,2.368736573
19,BelAir,48.84133825,2.400918538
20,Belleville,48.87184879,2.376593683
21,Belleville,48.87184879,2.376593683
22,Bercy,48.84000139,2.379554011
23,Bercy,48.84000139,2.379554011
24,BibliothequeFrançoisMitterand,48.82999028,2.375748144
25,Billancourt,48.83211056,2.238639349
26,BirHakeim,48.85394261,2.289334533
27,Blanche,48.88395857,2.331926591
28,BobignyPabloPicasso,48.90637477,2.449189904
29,BobignyPantinRaymondQueneau,48.89545467,2.425326889
30,Boissiere,48.86698311,2.290058835
31,Bolivar,48.88082126,2.374147154
32,BonneNouvelle,48.8701642,2.350497972
33,BonneNouvelle,48.8701642,2.350497972
34,Botzaris,48.87948177,2.389115807
35,Boucicaut,48.84109406,2.287945766
36,BoulogneJeanJaures,48.84200535,2.238887326
37,BoulognePontdeSaintCloudRondPointRhinetDanube,48.84074502,2.228536982
38,Bourse,48.86869598,2.340720724
39,Brochant,48.89058719,2.320174756
40,BreguetSabin,48.85614071,2.370209338
41,ButtesChaumont,48.87851411,2.381614512
42,Buzenval,48.85181213,2.401022271
43,Berault,48.84547071,2.429205166
44,Cadet,48.87589068,2.34412603
45,Cambronne,48.84750708,2.302968299
46,CampoFormio,48.83549536,2.358823489
47,CardinalLemoine,48.84665685,2.351623256
